Event Start Timestamp,Song Name,Artist Name,Content Name,Play Duration Milliseconds,Media Duration In Milliseconds,Media Type,Source Type,Content Specific Type,Feature Name,Event Type
2024-06-15T14:32:00Z,Bohemian Rhapsody,Queen,A Night at the Opera,354000,354000,AUDIO,LIBRARY,MUSIC,music,PLAY_END
2024-06-15T15:01:00Z,Stairway to Heaven,Led Zeppelin,Led Zeppelin IV,480000,480000,AUDIO,LIBRARY,MUSIC,music,PLAY_END
2024-06-15T15:10:00Z,Hotel California,Eagles,Hotel California,390000,390000,AUDIO,LIBRARY,MUSIC,music,PLAY_END
2024-06-16T09:00:00Z,Smells Like Teen Spirit,Nirvana,Nevermind,301000,301000,AUDIO,LIBRARY,MUSIC,music,PLAY_END
2024-06-16T09:06:00Z,Come as You Are,Nirvana,Nevermind,219000,219000,AUDIO,LIBRARY,MUSIC,music,PLAY_END
2024-06-16T10:30:00Z,Paranoid Android,Radiohead,OK Computer,383000,383000,AUDIO,LIBRARY,MUSIC,music,PLAY_END
2024-06-16T11:00:00Z,Everything in Its Right Place,Radiohead,Kid A,250000,250000,AUDIO,LIBRARY,MUSIC,music,PLAY_END
2024-06-17T08:00:00Z,Idioteque,Radiohead,Kid A,309000,309000,AUDIO,LIBRARY,MUSIC,music,PLAY_END
2024-06-17T08:30:00Z,Purple Rain,Prince,Purple Rain,520000,520000,AUDIO,LIBRARY,MUSIC,music,PLAY_END
2024-06-17T09:15:00Z,A Day in the Life,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,337000,337000,AUDIO,LIBRARY,MUSIC,music,PLAY_END
2024-06-17T14:00:00Z,Video Killed the Radio Star,The Buggles,The Age of Plastic,250000,250000,VIDEO,LIBRARY,MUSIC_VIDEO,music,PLAY_END
2024-06-17T14:30:00Z,Hotline Bling,Drake,,180000,180000,AUDIO,RADIO_STATION,MUSIC,music,PLAY_END
2024-06-17T15:00:00Z,Blinding Lights,The Weeknd,After Hours,200000,200000,AUDIO,BEATS_1_RADIO,MUSIC,music,PLAY_END
2024-06-17T15:30:00Z,Episode 42: The Future of AI,Tech Talk Podcast,,1800000,1800000,AUDIO,LIBRARY,PODCAST,podcast,PLAY_END
2024-06-17T16:00:00Z,Chapter 1,Stephen King,The Shining,3600000,3600000,AUDIO,LIBRARY,AUDIOBOOK,audiobook,PLAY_END
2024-06-17T16:30:00Z,Blinding Lights,The Weeknd,After Hours,5000,200000,AUDIO,LIBRARY,MUSIC,auto_play_preview,PLAY_END
2024-06-17T17:00:00Z,Levitating,Dua Lipa,Future Nostalgia,8000,203000,AUDIO,LIBRARY,MUSIC,music,PLAY_END
2024-06-17T17:30:00Z,,Unknown Artist,Some Album,200000,200000,AUDIO,LIBRARY,MUSIC,music,PLAY_END
2024-06-17T18:00:00Z,Some Track,,Some Album,200000,200000,AUDIO,LIBRARY,MUSIC,music,PLAY_END
2024-06-18T10:00:00Z,Jingle Bell Rock,Bobby Helms,Jingle Bell Rock,170000,170000,AUDIO,LIBRARY,MUSIC,music,PLAY_END
2024-06-18T11:00:00Z,Lose Yourself,Eminem,8 Mile Soundtrack,326000,326000,AUDIO,LIBRARY,MUSIC,music,PLAY_END
2024-06-18T11:06:00Z,Stan,Eminem,The Marshall Mathers LP,404000,404000,AUDIO,LIBRARY,MUSIC,music,PLAY_END
2024-06-18T12:00:00Z,Dancing Queen,ABBA,Arrival,231000,231000,AUDIO,LIBRARY,MUSIC,preview,PLAY_END
